user_id,movie_id,title,rating,genres,year,movie_age,genre_count,movie_popularity,average_rating
509,7347,Secret Window (2004),3.0,"['Mystery', 'Thriller']",2004.0,22.0,2,14,3.3214285714285716
326,71462,"Cove, The (2009)",4.0,['Documentary'],2009.0,17.0,1,4,4.25
57,2115,Indiana Jones and the Temple of Doom (1984),3.0,"['Action', 'Adventure', 'Fantasy']",1984.0,42.0,3,82,3.6280487804878048
610,1127,"Abyss, The (1989)",4.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",1989.0,37.0,4,53,3.509433962264151
462,2409,Rocky II (1979),2.0,"['Action', 'Drama']",1979.0,47.0,2,26,3.1923076923076925
600,2084,Newsies (1992),3.5,"['Children', 'Musical']",1992.0,34.0,2,4,2.875
89,121342,Carry on Cruising (1962),3.5,"['Comedy', 'Romance']",1962.0,64.0,2,1,3.5
343,2329,American History X (1998),4.0,"['Crime', 'Drama']",1998.0,28.0,2,102,4.196078431372549
414,36517,"Constant Gardener, The (2005)",4.0,"['Drama', 'Thriller']",2005.0,21.0,2,11,3.5
156,3072,Moonstruck (1987),4.0,"['Comedy', 'Romance']",1987.0,39.0,2,19,3.5526315789473686
305,1625,"Game, The (1997)",2.5,"['Drama', 'Mystery', 'Thriller']",1997.0,29.0,3,59,3.652542372881356
448,440,Dave (1993),3.0,"['Comedy', 'Romance']",1993.0,33.0,2,58,3.586206896551724
57,594,Snow White and the Seven Dwarfs (1937),4.0,"['Animation', 'Children', 'Drama', 'Fantasy', 'Musical']",1937.0,89.0,5,58,3.5689655172413794
20,6157,Daredevil (2003),2.0,"['Action', 'Crime']",2003.0,23.0,2,24,2.6875
313,541,Blade Runner (1982),5.0,"['Action', 'Sci-Fi', 'Thriller']",1982.0,44.0,3,93,4.096774193548387
600,5064,The Count of Monte Cristo (2002),1.5,"['Action', 'Adventure', 'Drama', 'Thriller']",2002.0,24.0,4,28,3.8035714285714284
304,1210,Star Wars: Episode VI - Return of the Jedi (1983),5.0,"['Action', 'Adventure', 'Sci-Fi']",1983.0,43.0,3,158,4.1455696202531644
469,1104,"Streetcar Named Desire, A (1951)",5.0,['Drama'],1951.0,75.0,1,15,4.533333333333333
138,2707,Arlington Road (1999),0.5,['Thriller'],1999.0,27.0,1,18,3.0833333333333335
217,2331,Living Out Loud (1998),2.0,"['Comedy', 'Drama', 'Romance']",1998.0,28.0,3,2,3.0
372,1015,Homeward Bound: The Incredible Journey (1993),2.0,"['Adventure', 'Children', 'Drama']",1993.0,33.0,3,15,2.933333333333333
603,3521,Mystery Train (1989),4.0,"['Comedy', 'Drama']",1989.0,37.0,2,6,3.6666666666666665
339,1625,"Game, The (1997)",4.0,"['Drama', 'Mystery', 'Thriller']",1997.0,29.0,3,59,3.652542372881356
438,3408,Erin Brockovich (2000),3.5,['Drama'],2000.0,26.0,1,57,3.482456140350877
